_c0,EffectiveDate,PricePerUnit,LeaseContractLength,PurchaseOption,OfferingClass,Location,InstanceType,CurrentGeneration,InstanceFamily,vCPU,ClockSpeed,Memory,Storage,NetworkPerformance,OperatingSystem,Tenancy,usageType,DedicatedEBSThroughput,NormalizationSizeFactor,ProcessorFeatures
1000887,31/10/17,0.1688,1yr,Partial Upfront,convertible,South America (Sao Paulo),m4.xlarge,Yes,General purpose,4.0,2.4  GHz,16 GiB,EBS only,High,RHEL,Dedicated,SAE1-DedicatedUsage:m4.xlarge,750 Mbps,8.0,Intel AVX; Intel AVX2; Intel Turbo
1000900,31/03/18,0.0,3yr,All Upfront,convertible,Asia Pacific (Seoul),i3.16xlarge,Yes,Storage optimized,64.0,2.3 GHz,488 GiB,8 x 1900 NVMe SSD,20 Gigabit,Linux,Dedicated,APN2-DedicatedUsage:i3.16xlarge,14000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000918,31/10/17,7389.0,1yr,All Upfront,convertible,Asia Pacific (Singapore),i2.xlarge,No,Storage optimized,4.0,2.5 GHz,30.5 GiB,1 x 800 SSD,Moderate,Windows,Shared,APS1-BoxUsage:i2.xlarge,"",8.0,Intel AVX; Intel Turbo
1000932,01/03/19,0.6709999999999999,1yr,No Upfront,convertible,US East (Ohio),m5ad.2xlarge,Yes,General purpose,8.0,2.5 GHz,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,Windows,Shared,USE2-BoxUsage:m5ad.2xlarge,Upto 2120 Mbps,16.0,"AVX, AVX2, AMD Turbo"
1000943,11/12/18,0.0,3yr,All Upfront,convertible,Asia Pacific (Tokyo),r5.xlarge,Yes,Memory optimized,4.0,"",32 GiB,EBS only,10 Gigabit,Windows,Shared,APN1-BoxUsage:r5.xlarge,"",8.0,""
1000987,31/10/17,3805.0,1yr,Partial Upfront,convertible,US West (N. California),r4.xlarge,Yes,Memory optimized,4.0,2.3 GHz,30.5 GiB,EBS only,Up to 10 Gigabit,Windows,Shared,USW1-BoxUsage:r4.xlarge,800 Mbps,8.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000991,01/06/19,1.3119999999999998,3yr,Partial Upfront,convertible,EU (Stockholm),r5d.16xlarge,Yes,Memory optimized,64.0,"",512 GiB,4 x 600 NVMe SSD,20 Gigabit,RHEL,Shared,EUN1-BoxUsage:r5d.16xlarge,"",128.0,""
1000992,30/04/17,0.0,3yr,All Upfront,convertible,US West (N. California),i3.8xlarge,Yes,Storage optimized,32.0,2.3 GHz,244 GiB,4 x 1900 NVMe SSD,10 Gigabit,Windows,Dedicated,USW1-DedicatedUsage:i3.8xlarge,7000 Mbps,64.0,"Intel AVX, Intel AVX2, Intel Turbo"
1000997,01/06/19,0.0,1yr,All Upfront,convertible,US West (N. California),r5a.4xlarge,Yes,Memory optimized,16.0,2.5 GHz,128 GiB,EBS only,10 Gigabit,Linux,Dedicated,USW1-DedicatedUsage:r5a.4xlarge,Upto 2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1001000,01/06/19,135193.0,3yr,All Upfront,standard,South America (Sao Paulo),m5.16xlarge,Yes,General purpose,64.0,2.5 GHz,256 GiB,EBS only,20 Gigabit,Windows,Dedicated,SAE1-DedicatedUsage:m5.16xlarge,10000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001032,01/07/19,15.228,"","","",EU (Stockholm),c5.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,144 GiB,EBS only,25 Gigabit,Windows,Shared,EUN1-UnusedBox:c5.18xlarge,9000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001048,01/07/19,2.354,"","","",EU (Frankfurt),c5.9xlarge,Yes,Compute optimized,36.0,3.0 Ghz,72 GiB,EBS only,10 Gigabit,Linux,Shared,EUC1-UnusedBox:c5.9xlarge,4500 Mbps,72.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001053,28/10/18,0.40700000000000003,1yr,Partial Upfront,standard,US West (Oregon),r5a.4xlarge,Yes,Memory optimized,16.0,2.5 GHz,128 GiB,EBS only,10 Gigabit,Linux,Shared,USW2-BoxUsage:r5a.4xlarge,Upto 2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1001060,30/06/17,11153.0,3yr,Partial Upfront,standard,Asia Pacific (Singapore),i3.xlarge,Yes,Storage optimized,4.0,2.3 GHz,30.5 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,Windows,Dedicated,APS1-DedicatedUsage:i3.xlarge,850 Mbps,8.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001062,20/11/18,5.407,3yr,No Upfront,convertible,EU (Ireland),c5n.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,192 GiB,EBS only,100 Gigabit,Windows,Dedicated,EU-DedicatedUsage:c5n.18xlarge,14000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001072,01/06/19,7.142,3yr,Partial Upfront,standard,Asia Pacific (Singapore),m5a.8xlarge,Yes,General purpose,32.0,2.5 GHz,128 GiB,EBS only,Up to 10 Gigabit,Windows,Dedicated,APS1-DedicatedUsage:m5a.8xlarge,3500 Mbps,64.0,"AVX, AVX2, AMD Turbo"
1001086,31/10/17,17779.0,1yr,All Upfront,convertible,US West (Oregon),i3.4xlarge,Yes,Storage optimized,16.0,2.3 GHz,122 GiB,2 x 1900 NVMe SSD,Up to 10 Gigabit,Windows,Dedicated,USW2-DedicatedUsage:i3.4xlarge,3500 Mbps,32.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001091,01/07/19,0.8859999999999999,"","","",EU (Frankfurt),m5a.xlarge,Yes,General purpose,4.0,2.5 GHz,16 GiB,EBS only,Up to 10 Gigabit,Windows,Dedicated,EUC1-UnusedDed:m5a.xlarge,Upto 2120 Mbps,8.0,"AVX, AVX2, AMD Turbo"
1001099,04/10/18,2.745,1yr,Partial Upfront,standard,AWS GovCloud (US-East),m5d.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,2 x 900 NVMe SSD,10 Gigabit,Windows,Dedicated,UGE1-DedicatedUsage:m5d.12xlarge,6000 Mbps,96.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001106,31/10/16,0.16399999999999998,3yr,No Upfront,convertible,Asia Pacific (Mumbai),r3.large,No,Memory optimized,2.0,2.5 GHz,15.25 GiB,1 x 32 SSD,Moderate,SUSE,Shared,APS3-BoxUsage:r3.large,"",4.0,Intel AVX; Intel Turbo
1001109,31/10/17,1717.0,1yr,All Upfront,standard,EU (Ireland),c5.xlarge,Yes,Compute optimized,4.0,3.0 Ghz,8 GiB,EBS only,Up to 10 Gigabit,RHEL,Dedicated,EU-DedicatedUsage:c5.xlarge,Upto 2250 Mbps,8.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001126,19/09/18,0.667,3yr,Partial Upfront,convertible,Asia Pacific (Seoul),r5d.2xlarge,Yes,Memory optimized,8.0,"",64 GiB,1 x 300 NVMe SSD,10 Gigabit,Linux,Dedicated,APN2-DedicatedUsage:r5d.2xlarge,"",16.0,""
1001127,30/06/18,17816.0,3yr,All Upfront,convertible,EU (Ireland),z1d.3xlarge,Yes,Memory optimized,12.0,"",96 GiB,1 x 450 NVMe SSD,Up to 10 Gigabit,RHEL,Shared,EU-BoxUsage:z1d.3xlarge,"",24.0,""
1001128,31/03/18,1.3142,1yr,Partial Upfront,convertible,Asia Pacific (Seoul),m4.4xlarge,Yes,General purpose,16.0,2.4 GHz,64 GiB,EBS only,High,Linux,Dedicated,APN2-DedicatedUsage:m4.4xlarge,2000 Mbps,32.0,Intel AVX; Intel AVX2; Intel Turbo
1001135,28/08/18,3.662,3yr,Partial Upfront,convertible,Asia Pacific (Seoul),r5.4xlarge,Yes,Memory optimized,16.0,"",128 GiB,EBS only,10 Gigabit,Windows,Shared,APN2-BoxUsage:r5.4xlarge,"",32.0,""
1001139,01/07/19,3.528,"","","",Asia Pacific (Singapore),c5n.2xlarge,Yes,Compute optimized,8.0,3.0 Ghz,21 GiB,EBS only,Up to 25 Gigabit,Linux,Dedicated,APS1-DedicatedUsage:c5n.2xlarge,Up to 3500 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001155,01/07/19,0.2964,"","","",US West (N. California),r4.xlarge,Yes,Memory optimized,4.0,2.3 GHz,30.5 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,USW1-BoxUsage:r4.xlarge,800 Mbps,8.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001159,01/01/19,0.597,1yr,No Upfront,convertible,US East (Ohio),m5.4xlarge,Yes,General purpose,16.0,2.5 GHz,64 GiB,EBS only,Up to 10 Gigabit,SUSE,Shared,USE2-BoxUsage:m5.4xlarge,2120 Mbps,32.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001163,01/05/19,0.489,1yr,Partial Upfront,standard,US East (Ohio),x1e.2xlarge,Yes,Memory optimized,8.0,2.3 GHz,244 GiB,1 x 240 SSD,Up to 10 Gigabit,Linux,Shared,USE2-BoxUsage:x1e.2xlarge,1000 Mbps,16.0,"Intel AVX, Intel AVX2"
1001167,01/01/19,0.0,1yr,All Upfront,convertible,Asia Pacific (Tokyo),c5d.9xlarge,Yes,Compute optimized,36.0,3.0 Ghz,72 GiB,1 x 900 NVMe SSD,10 Gigabit,SUSE,Dedicated,APN1-DedicatedUsage:c5d.9xlarge,4500 Mbps,72.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001175,30/09/16,0.094,3yr,Partial Upfront,convertible,EU (Ireland),r3.xlarge,No,Memory optimized,4.0,2.5 GHz,30.5 GiB,1 x 80 SSD,Moderate,SUSE,Dedicated,EU-DedicatedUsage:r3.xlarge,"",8.0,Intel AVX; Intel Turbo
1001185,31/10/16,0.127,3yr,Partial Upfront,standard,Asia Pacific (Tokyo),m3.large,No,General purpose,2.0,2.5 GHz,7.5 GiB,1 x 32 SSD,Moderate,Windows,Dedicated,APN1-DedicatedUsage:m3.large,"",4.0,Intel AVX; Intel Turbo
1001189,31/08/17,25535.0,3yr,All Upfront,convertible,US West (Oregon),f1.2xlarge,Yes,FPGA Instances,8.0,"",122 GiB,EBS only,Up to 10 Gigabit,SUSE,Dedicated,USW2-DedicatedUsage:f1.2xlarge,"",16.0,""
1001234,10/12/18,4.997,1yr,Partial Upfront,standard,EU (Ireland),m5d.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,2 x 900 NVMe SSD,10 Gigabit,Windows,Shared,EU-BoxUsage:m5d.12xlarge,6000 Mbps,96.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001249,01/07/19,3.654,"","","",EU (Frankfurt),c5d.9xlarge,Yes,Compute optimized,36.0,3.0 Ghz,72 GiB,1 x 900 NVMe SSD,10 Gigabit,Windows,Shared,EUC1-UnusedBox:c5d.9xlarge,4500 Mbps,72.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001272,31/10/16,4436.0,1yr,All Upfront,standard,Asia Pacific (Sydney),c3.2xlarge,No,Compute optimized,8.0,2.8 GHz,15 GiB,2 x 80 SSD,High,RHEL,Dedicated,APS2-DedicatedUsage:c3.2xlarge,"",16.0,Intel AVX; Intel Turbo
1001273,04/10/18,0.0,3yr,All Upfront,convertible,AWS GovCloud (US-East),m5.2xlarge,Yes,General purpose,8.0,2.5 GHz,32 GiB,EBS only,Up to 10 Gigabit,RHEL,Dedicated,UGE1-DedicatedUsage:m5.2xlarge,Upto 2120 Mbps,16.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001281,01/06/19,118043.0,1yr,All Upfront,convertible,AWS GovCloud (US),r5a.8xlarge,Yes,Memory optimized,32.0,2.5 GHz,256 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,UGW1-BoxUsage:r5a.8xlarge,3500 Mbps,64.0,"AVX, AVX2, AMD Turbo"
1001289,31/10/17,15.727,1yr,No Upfront,convertible,US West (N. California),r3.8xlarge,No,Memory optimized,32.0,2.5 GHz,244 GiB,2 x 320 SSD,10 Gigabit,Windows,Dedicated,USW1-DedicatedUsage:r3.8xlarge,"",64.0,Intel AVX; Intel Turbo
1001293,04/10/18,0.847,1yr,No Upfront,convertible,AWS GovCloud (US-East),c5d.xlarge,Yes,Compute optimized,4.0,3.0 Ghz,8 GiB,1 x 100 NVMe SSD,Up to 10 Gigabit,Windows,Dedicated,UGE1-DedicatedUsage:c5d.xlarge,Upto 2250 Mbps,8.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001319,28/10/18,731.0,1yr,All Upfront,convertible,US West (Oregon),r5a.large,Yes,Memory optimized,2.0,2.5 GHz,16 GiB,EBS only,10 Gigabit,Linux,Dedicated,USW2-DedicatedUsage:r5a.large,Upto 2120 Mbps,4.0,"AVX, AVX2, AMD Turbo"
1001322,01/03/19,7661.0,3yr,All Upfront,convertible,Asia Pacific (Seoul),c5n.xlarge,Yes,Compute optimized,4.0,3.0 Ghz,10.5 GiB,EBS only,Up to 25 Gigabit,Windows,Shared,APN2-BoxUsage:c5n.xlarge,Up to 3500 Mbps,8.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001324,01/07/19,0.0,"","","",US West (N. California),c3.2xlarge,No,Compute optimized,8.0,2.8 GHz,15 GiB,2 x 80 SSD,High,Linux,Shared,USW1-Reservation:c3.2xlarge,"",16.0,Intel AVX; Intel Turbo
1001335,30/04/18,23648.0,1yr,Partial Upfront,standard,US East (Ohio),c5d.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,144 GiB,2 x 900 NVMe SSD,25 Gigabit,Windows,Dedicated,USE2-DedicatedUsage:c5d.18xlarge,9000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001339,30/06/17,160623.0,3yr,Partial Upfront,standard,EU (Ireland),m4.16xlarge,Yes,General purpose,64.0,2.3 GHz,256 GiB,EBS only,20 Gigabit,Windows,Shared,EU-BoxUsage:m4.16xlarge,10000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001353,31/10/17,0.0,1yr,All Upfront,convertible,EU (London),i3.large,Yes,Storage optimized,2.0,2.3 GHz,15.25 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,Windows,Shared,EUW2-BoxUsage:i3.large,425 Mbps,4.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001354,28/10/18,7459.0,1yr,All Upfront,convertible,EU (Ireland),m5a.4xlarge,Yes,General purpose,16.0,2.5 GHz,64 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,EU-BoxUsage:m5a.4xlarge,2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1001357,01/04/19,0.574,1yr,Partial Upfront,standard,US East (Ohio),i3en.2xlarge,Yes,Storage optimized,8.0,3.1 GHz,64 GiB,2 x 2500 NVMe SSD,Up to 25 Gigabit,Windows,Dedicated,USE2-DedicatedUsage:i3en.2xlarge,Up to 3500 Mbps,16.0,""
1001365,06/11/18,0.8290000000000001,1yr,No Upfront,convertible,EU (Stockholm),c5d.xlarge,Yes,Compute optimized,4.0,3.0 Ghz,8 GiB,1 x 100 NVMe SSD,Up to 10 Gigabit,Windows,Shared,EUN1-BoxUsage:c5d.xlarge,Upto 2250 Mbps,8.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001394,20/11/18,14472.0,1yr,Partial Upfront,convertible,US West (Oregon),c5n.4xlarge,Yes,Compute optimized,16.0,3.0 Ghz,42 GiB,EBS only,Up to 25 Gigabit,Windows,Dedicated,USW2-DedicatedUsage:c5n.4xlarge,3500 Mbps,32.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001397,01/04/19,136780.0,3yr,All Upfront,convertible,US West (Oregon),i3en.3xlarge,Yes,Storage optimized,12.0,3.1 GHz,96 GiB,1 x 7500 NVMe SSD,Up to 25 Gigabit,Linux,Dedicated,USW2-DedicatedUsage:i3en.3xlarge,Up to 3500 Mbps,24.0,""
1001413,01/02/19,25469.0,1yr,All Upfront,convertible,Asia Pacific (Sydney),m5a.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,EBS only,10 Gigabit,Linux,Dedicated,APS2-DedicatedUsage:m5a.12xlarge,5000 Mbps,96.0,"AVX, AVX2, AMD Turbo"
1001425,31/10/16,0.0,1yr,All Upfront,standard,Asia Pacific (Tokyo),r3.4xlarge,No,Memory optimized,16.0,2.5 GHz,122 GiB,1 x 320 SSD,High,Linux,Shared,APN1-BoxUsage:r3.4xlarge,"",32.0,Intel AVX; Intel Turbo
1001434,30/06/17,1.504,3yr,Partial Upfront,standard,US West (Oregon),m4.4xlarge,Yes,General purpose,16.0,2.4 GHz,64 GiB,EBS only,High,Windows,Dedicated,USW2-DedicatedUsage:m4.4xlarge,2000 Mbps,32.0,Intel AVX; Intel AVX2; Intel Turbo
1001445,01/05/19,21.537,3yr,No Upfront,standard,EU (London),c5.12xlarge,Yes,Compute optimized,48.0,3.0 Ghz,96 GiB,EBS only,12 Gigabit,Windows,Dedicated,EUW2-DedicatedUsage:c5.12xlarge,7000 Mbps,96.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Deep Learning Boost, Intel Turbo"
1001453,01/05/19,5424.0,1yr,Partial Upfront,convertible,US East (Ohio),x1e.2xlarge,Yes,Memory optimized,8.0,2.3 GHz,244 GiB,1 x 240 SSD,Up to 10 Gigabit,Linux,Dedicated,USE2-DedicatedUsage:x1e.2xlarge,1000 Mbps,16.0,"Intel AVX, Intel AVX2"
1001462,10/12/18,1.5719999999999998,1yr,Partial Upfront,standard,EU (Paris),c5d.9xlarge,Yes,Compute optimized,36.0,3.0 Ghz,72 GiB,1 x 900 NVMe SSD,10 Gigabit,Windows,Dedicated,EUW3-DedicatedUsage:c5d.9xlarge,4500 Mbps,72.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001484,30/11/17,27846.0,1yr,All Upfront,standard,EU (Paris),d2.8xlarge,Yes,Storage optimized,36.0,2.4 GHz,244 GiB,24 x 2000 HDD,10 Gigabit,SUSE,Shared,EUW3-BoxUsage:d2.8xlarge,"",64.0,Intel AVX; Intel AVX2; Intel Turbo
1001490,01/07/19,0.0,"","","",EU (Paris),d2.8xlarge,Yes,Storage optimized,36.0,2.4 GHz,244 GiB,24 x 2000 HDD,10 Gigabit,RHEL,Dedicated,EUW3-DedicatedRes:d2.8xlarge,"",64.0,Intel AVX; Intel AVX2; Intel Turbo
1001498,01/03/19,38041.0,3yr,All Upfront,standard,Asia Pacific (Hong Kong),m5d.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,2 x 900 NVMe SSD,10 Gigabit,SUSE,Shared,APE1-BoxUsage:m5d.12xlarge,6000 Mbps,96.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001511,01/03/19,0.0,3yr,All Upfront,convertible,Asia Pacific (Mumbai),c5n.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,192 GiB,EBS only,100 Gigabit,RHEL,Dedicated,APS3-DedicatedUsage:c5n.18xlarge,14000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001517,30/09/16,0.0,1yr,All Upfront,standard,US East (N. Virginia),p2.8xlarge,Yes,GPU instance,32.0,2.3 GHz,488 GiB,EBS only,10 Gigabit,RHEL,Shared,BoxUsage:p2.8xlarge,"",64.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001524,31/10/17,1.5549,1yr,No Upfront,convertible,US West (Oregon),m4.10xlarge,Yes,General purpose,40.0,2.4 GHz,160 GiB,EBS only,10 Gigabit,RHEL,Shared,USW2-BoxUsage:m4.10xlarge,4000 Mbps,80.0,Intel AVX; Intel AVX2; Intel Turbo
1001543,01/03/19,3117.0,3yr,Partial Upfront,standard,Asia Pacific (Hong Kong),t3.2xlarge,Yes,General purpose,8.0,"",32 GiB,EBS only,Moderate,SUSE,Shared,APE1-BoxUsage:t3.2xlarge,"",16.0,""
1001559,05/08/18,0.7440000000000001,3yr,Partial Upfront,standard,US West (N. California),m5d.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,2 x 900 NVMe SSD,10 Gigabit,Linux,Shared,USW1-BoxUsage:m5d.12xlarge,6000 Mbps,96.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001563,01/07/19,7.694,"","","",US East (Ohio),r5a.4xlarge,Yes,Memory optimized,16.0,2.5 GHz,128 GiB,EBS only,10 Gigabit,Windows,Dedicated,USE2-UnusedDed:r5a.4xlarge,Upto 2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1001570,28/10/18,28537.0,1yr,Partial Upfront,standard,EU (Ireland),m5a.4xlarge,Yes,General purpose,16.0,2.5 GHz,64 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,EU-BoxUsage:m5a.4xlarge,2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1001603,01/07/19,5.553999999999999,"","","",Asia Pacific (Sydney),z1d.12xlarge,Yes,Memory optimized,48.0,"",384 GiB,2 x 900 NVMe SSD,25 Gigabit,RHEL,Dedicated,APS2-DedicatedUsage:z1d.12xlarge,"",96.0,""
1001624,31/10/17,0.036000000000000004,3yr,No Upfront,standard,US West (Oregon),c5.large,Yes,Compute optimized,2.0,3.0 Ghz,4 GiB,EBS only,Up to 10 Gigabit,Linux,Shared,USW2-BoxUsage:c5.large,Upto 2250 Mbps,4.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001628,30/09/16,0.0,3yr,All Upfront,standard,US West (N. California),i2.xlarge,No,Storage optimized,4.0,2.5 GHz,30.5 GiB,1 x 800 SSD,Moderate,Windows,Shared,USW1-BoxUsage:i2.xlarge,"",8.0,Intel AVX; Intel Turbo
1001629,31/03/18,9808.0,3yr,Partial Upfront,standard,Asia Pacific (Sydney),c3.4xlarge,No,Compute optimized,16.0,2.8 GHz,30 GiB,2 x 160 SSD,High,Linux,Shared,APS2-BoxUsage:c3.4xlarge,"",32.0,Intel AVX; Intel Turbo
1001651,01/05/19,2.571,1yr,Partial Upfront,convertible,EU (Frankfurt),c5.metal,Yes,Compute optimized,96.0,3.0 Ghz,192 GiB,EBS only,25 Gigabit,Linux,Dedicated,EUC1-DedicatedUsage:c5.metal,14000 Mbps,192.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Deep Learning Boost, Intel Turbo"
1001656,31/03/18,7697.0,3yr,Partial Upfront,standard,US West (Oregon),i2.2xlarge,No,Storage optimized,8.0,2.5 GHz,61 GiB,2 x 800 SSD,High,Linux,Shared,USW2-BoxUsage:i2.2xlarge,"",16.0,Intel AVX; Intel Turbo
1001658,30/11/16,2.062,1yr,Partial Upfront,standard,Canada (Central),d2.2xlarge,Yes,Storage optimized,8.0,2.4 GHz,61 GiB,6 x 2000 HDD,High,Windows,Shared,CAN1-BoxUsage:d2.2xlarge,"",16.0,Intel AVX; Intel AVX2; Intel Turbo
1001688,30/11/16,196192.0,3yr,Partial Upfront,convertible,US West (Oregon),g2.8xlarge,No,GPU instance,32.0,2.6 GHz,60 GiB,2 x 120 SSD,10 Gigabit,Windows,Shared,USW2-BoxUsage:g2.8xlarge,"",64.0,Intel AVX; Intel Turbo
1001711,31/10/16,0.38799999999999996,3yr,No Upfront,convertible,Asia Pacific (Sydney),c3.2xlarge,No,Compute optimized,8.0,2.8 GHz,15 GiB,2 x 80 SSD,High,Linux,Dedicated,APS2-DedicatedUsage:c3.2xlarge,"",16.0,Intel AVX; Intel Turbo
1001714,31/03/18,14.690999999999999,1yr,Partial Upfront,standard,EU (London),c5.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,144 GiB,EBS only,25 Gigabit,Linux,Dedicated,EUW2-DedicatedUsage:c5.18xlarge,9000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001715,20/11/18,42188.0,3yr,All Upfront,convertible,US East (N. Virginia),c5n.18xlarge,Yes,Compute optimized,72.0,3.0 Ghz,192 GiB,EBS only,100 Gigabit,RHEL,Shared,BoxUsage:c5n.18xlarge,14000 Mbps,144.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001739,01/03/19,0.0622,3yr,Partial Upfront,convertible,US East (N. Virginia),t3a.micro,Yes,General purpose,2.0,2.5 GHz,1 GiB,EBS only,Low to Moderate,RHEL,Shared,BoxUsage:t3a.micro,Upto 1500 Mbps,0.5,"AVX, AVX2, AMD Turbo"
1001741,30/09/16,33031.0,3yr,Partial Upfront,convertible,US West (Oregon),g2.2xlarge,No,GPU instance,8.0,2.6 GHz,15 GiB,1 x 60 SSD,High,Windows,Shared,USW2-BoxUsage:g2.2xlarge,"",16.0,Intel AVX; Intel Turbo
1001756,31/03/18,0.0,3yr,All Upfront,standard,EU (Frankfurt),r4.8xlarge,Yes,Memory optimized,32.0,2.3 GHz,244 GiB,EBS only,10 Gigabit,Linux,Shared,EUC1-BoxUsage:r4.8xlarge,6000 Mbps,64.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001772,31/10/17,37142.0,1yr,Partial Upfront,convertible,AWS GovCloud (US),m4.10xlarge,Yes,General purpose,40.0,2.4 GHz,160 GiB,EBS only,10 Gigabit,Windows,Shared,UGW1-BoxUsage:m4.10xlarge,4000 Mbps,80.0,Intel AVX; Intel AVX2; Intel Turbo
1001780,01/07/19,0.0576,"","","",Asia Pacific (Seoul),t2.medium,Yes,General purpose,2.0,Up to 3.3 GHz,4 GiB,EBS only,Low to Moderate,Linux,Shared,APN2-BoxUsage:t2.medium,"",2.0,Intel AVX; Intel Turbo
1001811,01/06/19,1.705,1yr,No Upfront,standard,US West (N. California),r5a.4xlarge,Yes,Memory optimized,16.0,2.5 GHz,128 GiB,EBS only,10 Gigabit,Windows,Dedicated,USW1-DedicatedUsage:r5a.4xlarge,Upto 2120 Mbps,32.0,"AVX, AVX2, AMD Turbo"
1001816,06/11/18,1.6669999999999998,3yr,Partial Upfront,standard,EU (Stockholm),m5.12xlarge,Yes,General purpose,48.0,2.5 GHz,192 GiB,EBS only,10 Gigabit,Windows,Shared,EUN1-BoxUsage:m5.12xlarge,6000 Mbps,96.0,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo"
1001823,28/10/18,0.0,1yr,All Upfront,convertible,EU (Ireland),r5a.large,Yes,Memory optimized,2.0,2.5 GHz,16 GiB,EBS only,10 Gigabit,Linux,Shared,EU-BoxUsage:r5a.large,Upto 2120 Mbps,4.0,"AVX, AVX2, AMD Turbo"
1001855,01/07/19,0.0,"","","",Asia Pacific (Singapore),r4.8xlarge,Yes,Memory optimized,32.0,2.3 GHz,244 GiB,EBS only,10 Gigabit,Windows,Host,APS1-HostBoxUsage:r4.8xlarge,6000 Mbps,64.0,"Intel AVX, Intel AVX2, Intel Turbo"
1001863,01/06/19,5724.0,3yr,Partial Upfront,standard,AWS GovCloud (US-East),t3a.2xlarge,Yes,General purpose,8.0,2.5 GHz,32 GiB,EBS only,Moderate,Windows,Shared,UGE1-BoxUsage:t3a.2xlarge,Upto 2120 Mbps,16.0,"AVX, AVX2, AMD Turbo"
1001882,01/07/19,15.744000000000002,"","","",Asia Pacific (Seoul),r4.16xlarge,Yes,Memory optimized,64.0,2.3 GHz,488 GiB,EBS only,20 Gigabit,Windows,Dedicated,APN2-DedicatedUsage:r4.16xlarge,12000 Mbps,128.0,"Intel AVX, Intel AVX2, Intel Turbo"
